"gid","survey_gid","description","source","accuracy","the_geom","object_id","mat_type","mat_tech","mat_prop","llrs","llrs_duct","height","height2","yr_built","occupy","occupy_dt","position","plan_shape","str_irreg","str_irreg_dt","str_irreg_type","str_irreg_2","str_irreg_dt_2","str_irreg_type_2","nonstrcexw","roof_shape","roofcovmat","roofsysmat","roofsystyp","roof_conn","floor_mat","floor_type","floor_conn","foundn_sys","build_type","build_subtype","vuln","comment","rrvs_status","vuln_1","vuln_2","height_1","height_2","height2_1","height2_2","year_1","year_2","object_id1","mat_type_bp","mat_tech_bp","mat_prop_bp","llrs_bp","llrs_duct_bp","height_bp","height2_bp","yr_built_bp","occupy_bp","occupy_dt_bp","position_bp","plan_shape_bp","str_irreg_bp","str_irreg_dt_bp","str_irreg_type_bp","str_irreg_2_bp","str_irreg_dt_2_bp","str_irreg_type_2_bp","nonstrcexw_bp","roof_shape_bp","roofcovmat_bp","roofsysmat_bp","roofsystyp_bp","roof_conn_bp","floor_mat_bp","floor_type_bp","floor_conn_bp","foundn_sys_bp","build_type_bp","build_subtype_bp","vuln_bp","yr_built_vt","yr_built_vt1","object_id2","mat_type_src","mat_tech_src","mat_prop_src","llrs_src","llrs_duct_src","height_src","height2_src","yr_built_src","occupy_src","occupy_dt_src","position_src","plan_shape_src","str_irreg_src","str_irreg_dt_src","str_irreg_type_src","str_irreg_2_src","str_irreg_dt_2_src","str_irreg_type_2_src","nonstrcexw_src","roof_shape_src","roofcovmat_src","roofsysmat_src","roofsystyp_src","roof_conn_src","floor_mat_src","floor_type_src","floor_conn_src","foundn_sys_src","build_type_src","build_subtype_src","vuln_src","lon","lat"
38197,9,"","OSM","","0106000020E6100000010000000103000000010000000500000050DC966D4CE351C0061B8D32D18140C0E1D638F647E351C0E89F85A9D28140C0641415BB47E351C02A25BA1DD08140C0D31973324CE351C0D283CCDFCE8140C050DC966D4CE351C0061B8D32D18140C0",38197,"M99","CL99","MO99","LWAL","DU99","H","HB99","Y99","RES","RES2C","BPD","PLFR","IRRE","IRP99","IRT99","IRRE","IRPS","IRN","EWSL","RSH1","RMN","RC","RC1","RWCP","FC","FC1","FWCP","FOS99","","","V99","","COMPLETED","","","4","","99","","99","",38197,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38197,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5513944344623","-33.0141822346724"
38220,9,"","OSM","","0106000020E6100000010000000103000000010000000600000028507A956BE251C023861DC6A48240C09B9EC1F05BE251C029554733BB8240C0905500425AE251C0B4BA8BE6B78240C0FC500E0B5AE251C0B430557AB78240C08802C7AF69E251C0AE612B0DA18240C028507A956BE251C023861DC6A48240C0",38220,"CR","MATT99","MATP99","LH","DU99","H99","HB99","Y99","OCO","ASS2","BPD","PLFR","IR99","IRP99","IRT99","IRRE","IRPS","IRN","EWC","RSH2","RMT6","RWO","RWO1","RTDP","FC","FC99","FWC99","FOS99","","","V99","","COMPLETED","","","99","","99","","99","",38220,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38220,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5372810925778","-33.0209389049382"
38252,9,"","OSM","","0106000020E610000001000000010300000001000000080000001B0BAFC9BFE351C099BA2BBB608240C0808EA042BFE351C0C852358B618240C027E77A91BFE351C04A6D9857648240C0FE56FCF0BDE351C04F58E201658240C087E17E1BBDE351C08FBCBDB55D8240C06F29E78BBDE351C01E914A0C5D8240C00AA6F512BEE351C01E914A0C5D8240C01B0BAFC9BFE351C099BA2BBB608240C0",38252,"CR","CIP","MATP99","LWAL","DU99","H","HB99","Y99","COM","COM11","BPD","PLFD","IRRE","IRP99","IRT99","IRRE","IRPS","IRN","EWMA","RSH1","RMN","RC","RC99","RWCP","FC","FC99","FWCP","FOSSL","","","V99","","COMPLETED","","","3","","99","","99","",38252,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38252,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5584945167863","-33.0185862929639"
38294,9,"","OSM","","0106000020E61000000100000001030000000100000007000000609335EAA1E351C002DAB16C418240C036FAE29CA2E351C02FEA494F478240C00191346EA0E351C0400D8409488240C031A2A30BA0E351C0186C34CA448240C03E9BB0589EE351C0ADE3535B458240C0382394089EE351C03D34E2B8428240C0609335EAA1E351C002DAB16C418240C0",38294,"CR","CIP","MATP99","LWAL","DU99","H","HB99","YAPP","RES","RES2","BPD","PLFL","IRIR","IRPP","TOR","IR99","IRP99","IRN","EWSL","RSH1","RMN","RC","RC99","RWCP","FC","FC1","FWCP","FOS99","","","V99","","COMPLETED","","","12","","99","","2005","",38294,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38294,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5566785438278","-33.0177148159633"
38314,9,"","OSM","","0106000020E61000000100000001030000000100000009000000F0AFD46993E351C0410A43893B8240C055302AA993E351C069C537143E8240C0A9D5FC9D92E351C0FEE0325D3E8240C0B53BFFD192E351C0A994E876408240C0E60D8BAC90E351C0BB89100D418240C0FEF3346090E351C03A1389F83D8240C01561794691E351C09FF29EB93D8240C08C94771F91E351C04CFA7B293C8240C0F0AFD46993E351C0410A43893B8240C0",38314,"M99","CL99","MO99","LWAL","DU99","H","HB99","Y99","COM","COM4","BPD","PLFP","IRIR","IRVP","POP","IRIR","IRVP","SET","EWSL","RSH8","RMT6","RSM99","RST99","RTDP","FC","FC99","FWCP","FOS99","","","V99","","COMPLETED","","","3","","99","","99","",38314,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38314,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5557844533145","-33.0175249081036"
38326,9,"","OSM","","0106000020E6100000010000000103000000010000000B00000039E4B0459CE351C03D2B69C5378240C05199AC9B9CE351C04729D7CA3A8240C0399F950F9CE351C0831376F63A8240C027BEDA519CE351C04C6A0D4A3D8240C034FC02D59AE351C0DAAE2BC13D8240C03489D57A9AE351C0124427953A8240C0F357C85C99E351C04757E9EE3A8240C0D053D3E498E351C0737275B6368240C0997FF44D9AE351C08B2A0D46368240C0B722D6879AE351C0BF65A950388240C039E4B0459CE351C03D2B69C5378240C0",38326,"MCF","CL99","MATP99","LWAL","DU99","H","HB99","YAPP","RES","RES99","BPD","PLFI","IRRE","IRP99","IRT99","IRRE","IRPS","IRN","EWSL","RSH2","RMT1","RC","RWO1","RTD99","FC","FC99","FWCP","FOSSL","","","V99","","COMPLETED","","","2","","99","","1980","",38326,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38326,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5563252964316","-33.0173903937267"
38445,9,"","OSM","","0106000020E6100000010000000103000000010000000600000073BB97FB64E851C00B2769FE988540C0C2EE851362E851C06F2E59709A8540C07B70D28F61E851C08F0BBDB4978540C085CD001764E851C054DF9E8C968540C0B5F2DC8C64E851C01EFAEE56968540C073BB97FB64E851C00B2769FE988540C0",38445,"MUR","CLBRS","MO99","LWAL","DU99","H","HB99","Y99","COM","COM99","BP2","PLFR","IRRE","IRP99","IRN","IRRE","IRPS","IRN","EWSL","RSH2","RMT6","RWO","RWO1","RTDP","FC","FC1","FWCP","FOS99","","","V99","","COMPLETED","","","2","","99","","99","",38445,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38445,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.6310596951706","-33.0437124418214"
38476,9,"","OSM","","0106000020E6100000010000000103000000010000000C000000B308C55650E851C0AA398ABD618540C02B56687B4FE851C0B5238BEA638540C09CB525BC4EE851C0338D2617638540C0678B5A504EE851C0E5034C2A648540C0196140E54EE851C0D8B1B6CE648540C08B64D9DD4DE851C066040AAB678540C0FD288F134BE851C04A6D9857648540C05DA791964AE851C020C0D831648540C033AF7EC74BE851C05783E629618540C0A3F1FA824CE851C0F25B19F9618540C07F15E0BB4DE851C0352905DD5E8540C0B308C55650E851C0AA398ABD618540C0",38476,"W","MATT99","MATP99","LWAL","DU99","H","HB","Y99","RES","RES99","BP2","PLFR","IRIR","IRVP","CHV","IRRE","IRPS","IRN","EWME","RSH3","RMT2","RWO","RWO1","RWCN","F99","FT99","FWCP","FOS99","","","V99","","COMPLETED","","","2","","0","","99","",38476,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38476,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.6297312350781","-33.0420883168428"
38481,9,"","OSM","","0106000020E6100000010000000103000000010000000D000000AF15230159E851C03AC31E24558540C05C06F75E57E851C04F0DEA11598540C0C25BD6B356E851C0F1F0434A588540C00F24946357E851C0EBC37AA3568540C0DFE7AEDB56E851C075931804568540C0AAD4EC8156E851C074A785DC568540C08718AF7955E851C01601A9A8558540C093C3CCE355E851C05880A5A9548540C0289D483055E851C06AA917D7538540C0167A0E7654E851C0E0490B97558540C0ABAFAE0A54E851C040C80D1A558540C08141D2A755E851C0E2B7D738518540C0AF15230159E851C03AC31E24558540C0",38481,"M99","CL99","MO99","LWAL","DU99","H","HB99","Y99","OC99","OCCDT99","BP2","PLFP","IRIR","IRVP","SHC","IRIR","IRVP","SET","EWSL","RSH4","RMT6","RSM99","RST99","RTDP","FC","FC99","FWCP","FOS99","","","V99","","COMPLETED","","","4","","99","","99","",38481,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38481,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.6302928533729","-33.0416518727754"
38490,9,"","OSM","","0106000020E6100000010000000103000000010000000D0000003C53437639E851C0CC24EA059F8540C07F7FEFDB35E851C0F8003851A68540C07AF601ED33E851C03B6CC779A48540C00924175234E851C018B08971A38540C0BCE58F0E34E851C0C4550A26A38540C02169818733E851C011BF0754A48540C05D424F1432E851C0A78416C8A28540C0C16E7DFD35E851C02263FF869A8540C0F6DAC76537E851C009A52F849C8540C04F0FC0BC36E851C08C97B89F9D8540C09C4D470037E851C0DFF137EB9D8540C0D2D336B437E851C03352EFA99C8540C03C53437639E851C0CC24EA059F8540C0",38490,"W","WO","MATP99","LWAL","DU99","H","HB99","Y99","ASS","ASS1","BPD","PLFH","IR99","IRP99","IRT99","IRRE","IRPS","IRN","EWW","RSH2","RMT7","RWO","RWO1","RTDP","FN","FT99","FWC99","FOS99","","","V99","","COMPLETED","","","1","","99","","99","",38490,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38490,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.6282848664109","-33.043964533616"
